producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.019385673415449552,54.83013114915191
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.012976325905406,36.70203433121485
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0018642134158374354,5.272711651013063
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.000687829363316369,1.9454456593093075
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00033905925199496055,0.9589898094229252
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,5.172311904435043e-05,0.14629284935671988
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.7305855986291895e-05,0.07723144988479214
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.3743813414808975e-05,0.06715662518473198
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.289456236380334e-09,6.475461698479582e-06
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,21.254863823783733,44.74269092116524
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,9.352681127072819,19.687922934824083
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.4835328650157704,7.333033774543167
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,3.252125699074613,6.845908597525455
America,Food and catering,Scope 3,blue_water_consumption,Mm3,3.0209700431518174,6.3593128633265
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,2.1180170057482104,4.458545631702575
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.076108693155063,2.2652696838988664
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,0.6846058652501414,1.441134080446492
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.4912743094107739,1.0341602169607393
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.474158978644859,0.9981314773356968
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.23662593568692594,0.4981109826036482
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.20632665725596114,0.43432928721334324
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.17947716566402458,0.3778095883035722
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.1706311178226672,0.3591881570998207
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.13335738619874696,0.2807248431330018
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.12442499278617274,0.26192164961652054
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.11322300207191964,0.23834082536918996
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.09873117155330612,0.20783470219889305
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.09363548689702454,0.19710799769031798
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.09303222766002278,0.195838102864819
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.0864,0.18187688839779653
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.07412186141124921,0.156030711987624
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.05457494197925076,0.1148833406444029
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.04669617189147202,0.09829808383923126
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.03504138621274048,0.07376410057313294
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0350034901882981,0.07368432729757475
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.03279961492657994,0.0690450451793088
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.032109541654074834,0.06759240189725194
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.025698235730806606,0.05409624018555764
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.0241383337463447,0.05081255825107293
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.023367140763905742,0.04918915338995933
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.02234403220057333,0.04703545197801443
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.022007849635785028,0.04632776865836991
Asia and Pacific,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.020234872777945126,0.04259555205992982
Africa,Services,Scope 3,blue_water_consumption,Mm3,0.018209696085212577,0.038332440539907406
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.018130575287561762,0.0381658867843023
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.01793750044280976,0.03775945331217982
America,Textile,Scope 3,blue_water_consumption,Mm3,0.013462543487350181,0.028339415733787867
Africa,Textile,Scope 3,blue_water_consumption,Mm3,0.012757579511629175,0.026855426678965216
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.012450994663838442,0.02621004822820028
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.012143551529401463,0.02556286303548427
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.011584315731453295,0.024385640039981126
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.01117749423780803,0.023529257778435474
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.01091251081861823,0.02297145268862934
