study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,demand_component,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OGPL,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Natural gas and gaseous fuels,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ORAN,Mining of uranium and thorium ores (12),Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,IRON,Mining of iron ores,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0004254653792059909,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COPO,Mining of copper ores and concentrates,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,NIKO,Mining of nickel ores and concentrates,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ALUO,Mining of aluminium ores and concentrates,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PREO,Mining of precious metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,LZTO,"Mining of lead, zinc and tin ores and concentrates",Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.006853760839207568,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,STON,Quarrying of stone,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.1162122919411794,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
